"table_taxa[, 1]","track1","track2","track3","track4","track5","track6","track7","track8","track9","track10","track11","track12","track13","track14","track15","track16","track17","track18","track19","track20","track21","track22","track23","track24","track25"
"asv1",25885,25885,25885,25885,0,13952,13952,13952,13952,0,20037,20037,20037,20037,0,24452,24452,24452,24452,0,25817,25817,25817,25817,0
"asv2",31087,31087,31087,31087,66,18931,18931,18931,18931,68,26942,26942,26942,26942,68,33113,33113,33113,33113,66,33977,33977,33977,33977,66
"asv3",9076,9076,9076,9076,0,6079,6079,6079,6079,0,8516,8516,8516,8516,0,8734,8734,8734,8734,0,9065,9065,9065,9065,0
"asv4",10841,10841,10841,10841,0,5360,5360,5360,5360,0,8155,8155,8155,8155,0,10179,10179,10179,10179,0,10818,10818,10818,10818,0
"asv5",1610,1610,1610,1610,0,784,784,784,784,0,1020,1020,1020,1020,0,1200,1200,1200,1200,0,1608,1608,1608,1608,0
"asv6",1506,1474,1474,1506,0,517,527,517,517,0,212,798,798,212,0,993,993,273,273,0,738,1503,1472,1472,0
"asv7",827,827,827,827,0,399,399,399,399,0,631,631,631,631,0,773,773,773,773,0,827,827,827,827,0
"asv8",705,705,705,705,0,300,300,300,300,0,509,509,509,509,0,661,661,661,661,0,704,704,704,704,0
"asv9",1376,1408,1408,1376,0,589,579,751,589,0,1550,964,1208,1550,0,1299,1299,2019,2019,0,2139,1374,1405,1730,0
"asv10",371,371,371,371,0,193,193,193,193,0,273,273,273,273,0,353,353,353,353,0,370,370,370,370,0
"asv11",677,677,677,677,0,317,317,155,317,0,501,501,257,501,0,635,635,635,635,0,674,674,674,349,0
"asv12",560,560,560,560,0,239,239,239,239,0,404,404,404,404,0,529,529,529,529,0,560,560,560,560,0
"asv13",932,937,932,872,565,633,593,595,593,525,788,788,788,737,399,656,912,912,912,560,929,931,931,931,560
"asv14",308,308,308,308,0,142,142,142,142,0,223,223,223,223,0,292,292,292,292,0,307,307,307,307,0
"asv15",91,91,91,91,0,58,58,58,58,0,73,73,73,73,0,88,88,88,88,0,90,90,90,90,0
"asv16",19,19,19,19,0,10,10,10,10,0,12,12,12,12,0,14,14,14,14,0,19,19,19,19,0
"asv17",8,8,8,8,0,2,2,2,2,0,6,6,6,6,0,8,8,8,8,0,8,8,8,8,0
"asv18",6,6,6,6,0,5,5,5,5,0,5,5,5,5,0,6,6,6,6,0,6,6,6,6,0
"asv19",5,0,5,5,0,5,7,5,7,5,0,0,0,0,5,0,0,0,0,5,7,5,5,5,5
"asv20",4,4,4,4,0,3,3,3,3,0,4,4,4,4,0,4,4,4,4,0,4,4,4,4,0
"asv21",3,3,3,3,0,3,3,0,3,0,3,3,3,3,0,2,3,3,3,0,5,3,3,3,0
"asv22",3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0
"asv23",2,2,2,2,0,0,0,0,0,0,1,1,1,1,0,0,2,2,2,0,0,2,2,2,0
"asv24",0,0,0,60,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asv25",0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3
"asv26",0,0,0,0,2,0,0,0,0,0,5,5,5,5,0,6,6,6,6,2,0,0,0,0,2
"asv27",0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2
"asv28",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"asv29",0,0,0,0,0,0,0,0,38,35,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
"asv30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,256,0,0,0,0,0,0,0,0,0
